id,name,lat,lng,total_votes,turnout,margin,winning_party,tmc_share,bjp_share,cpim_share,inc_share,others_share,urbanization,literacy,income,cluster
1,Constituency 1,21.635714285714286,85.94285714285715,167724,89.0,1.82,TMC,45.66,43.84,1.0,1.0,8.5,13.09,71.52,68.02,1
2,Constituency 2,21.635714285714286,86.22857142857143,153439,80.49,2.44,TMC,39.58,37.14,9.54,4.38,9.37,49.43,74.15,48.8,2
3,Constituency 3,21.635714285714286,86.5142857142857,223818,87.59,17.94,TMC,48.92,30.98,8.22,1.0,10.88,40.16,75.08,53.54,0
4,Constituency 4,21.635714285714286,86.80000000000001,182816,83.17,0.64,TMC,45.24,44.6,5.68,1.17,3.32,47.13,76.49,43.35,2
5,Constituency 5,21.635714285714286,87.08571428571429,249212,80.33,12.59,TMC,45.34,32.75,9.71,3.45,8.75,22.24,86.7,61.47,1
6,Constituency 6,21.635714285714286,87.37142857142857,198089,77.46,12.93,TMC,51.1,38.17,7.61,2.18,0.95,19.88,79.21,26.29,3
7,Constituency 7,21.635714285714286,87.65714285714284,166928,86.29,13.51,TMC,49.61,36.1,12.39,0.95,0.95,10.0,84.47,40.19,3
8,Constituency 8,21.635714285714286,87.94285714285715,177060,87.75,18.79,TMC,55.06,36.28,6.54,1.06,1.06,19.89,78.79,39.74,3
9,Constituency 9,21.635714285714286,88.22857142857143,265504,81.51,9.59,TMC,46.67,37.08,1.4,4.05,10.8,46.35,84.3,58.07,0
10,Constituency 10,21.635714285714286,88.5142857142857,208869,85.52,11.38,TMC,40.7,29.33,9.86,10.01,10.1,47.27,85.4,56.08,0
11,Constituency 11,21.635714285714286,88.80000000000001,210166,80.74,2.66,TMC,42.0,39.35,11.74,2.62,4.29,41.25,63.69,39.99,2
12,Constituency 12,21.635714285714286,89.08571428571429,213259,78.18,5.59,TMC,45.24,39.66,5.17,4.92,5.02,38.95,76.14,53.25,0
13,Constituency 13,21.635714285714286,89.37142857142857,236063,84.16,2.07,TMC,39.51,37.44,6.21,4.7,12.15,34.87,85.66,51.52,0
14,Constituency 14,21.635714285714286,89.65714285714284,171175,90.51,6.68,TMC,50.18,43.5,4.07,1.12,1.12,42.95,81.56,51.09,0
15,Constituency 15,21.90714285714286,85.94285714285715,174984,87.03,0.57,TMC,48.24,47.67,1.24,1.24,1.62,43.79,75.3,45.62,2
16,Constituency 16,21.90714285714286,86.22857142857143,232127,76.68,5.44,TMC,40.78,35.35,10.09,0.85,12.92,16.07,67.31,68.24,1
17,Constituency 17,21.90714285714286,86.5142857142857,238561,74.17,17.65,TMC,46.24,28.6,8.56,11.13,5.47,10.0,71.15,41.41,3
18,Constituency 18,21.90714285714286,86.80000000000001,213732,75.35,2.93,BJP,37.15,40.09,4.06,14.18,4.52,35.12,99.21,58.1,0
19,Constituency 19,21.90714285714286,87.08571428571429,178446,84.97,7.01,TMC,46.99,39.98,4.95,1.37,6.71,10.0,66.93,39.96,3
20,Constituency 20,21.90714285714286,87.37142857142857,164058,72.32,2.82,TMC,45.68,42.85,9.1,1.19,1.19,45.63,70.44,43.33,2
21,Constituency 21,21.90714285714286,87.65714285714284,204787,82.97,5.6,TMC,45.49,39.89,1.08,8.09,5.45,47.75,73.0,61.84,0
22,Constituency 22,21.90714285714286,87.94285714285715,181822,81.31,12.43,BJP,36.93,49.36,8.07,1.14,4.49,26.65,69.61,75.54,1
23,Constituency 23,21.90714285714286,88.22857142857143,198887,73.66,15.62,TMC,48.25,32.63,3.56,7.16,8.41,38.8,81.49,65.14,0
24,Constituency 24,21.90714285714286,88.5142857142857,171971,78.41,7.59,TMC,46.12,38.53,4.28,3.4,7.67,50.12,69.03,45.27,2
25,Constituency 25,21.90714285714286,88.80000000000001,253673,84.25,1.32,BJP,35.68,37.0,13.34,9.86,4.13,32.62,75.55,57.21,0
26,Constituency 26,21.90714285714286,89.08571428571429,181358,85.43,2.94,TMC,42.67,39.73,14.51,0.91,2.19,22.28,66.68,54.62,1
27,Constituency 27,21.90714285714286,89.37142857142857,170369,71.8,7.65,BJP,33.07,40.72,11.1,7.35,7.76,41.91,73.47,61.34,0
28,Constituency 28,21.90714285714286,89.65714285714284,229428,74.28,0.51,TMC,46.15,45.64,2.03,1.18,4.99,10.0,66.88,21.81,3
29,Constituency 29,22.17857142857143,85.94285714285715,151659,75.93,5.79,BJP,34.7,40.49,5.64,8.55,10.62,50.81,94.04,27.02,2
30,Constituency 30,22.17857142857143,86.22857142857143,193572,83.0,22.94,TMC,50.61,27.68,12.88,7.52,1.31,47.16,75.01,70.93,0
31,Constituency 31,22.17857142857143,86.5142857142857,216044,75.63,3.66,TMC,47.43,43.77,1.25,5.47,2.08,44.12,68.34,62.63,0
32,Constituency 32,22.17857142857143,86.80000000000001,187018,74.55,16.25,TMC,51.01,34.76,8.57,1.07,4.59,30.1,75.02,46.51,3
33,Constituency 33,22.17857142857143,87.08571428571429,212189,69.7,16.16,TMC,55.98,39.82,2.31,0.95,0.95,52.61,83.52,44.12,2
34,Constituency 34,22.17857142857143,87.37142857142857,151390,80.48,3.76,TMC,45.46,41.7,10.48,1.17,1.17,53.21,75.67,65.38,0
35,Constituency 35,22.17857142857143,87.65714285714284,231521,80.38,5.28,TMC,43.35,38.07,1.14,7.69,9.75,41.95,81.52,36.65,2
36,Constituency 36,22.17857142857143,87.94285714285715,237071,80.83,20.01,TMC,52.9,32.89,0.97,6.74,6.49,22.54,69.91,57.66,1
37,Constituency 37,22.17857142857143,88.22857142857143,197509,79.7,0.86,TMC,41.64,40.79,6.09,1.03,10.45,57.86,82.41,64.33,0
38,Constituency 38,22.17857142857143,88.5142857142857,186582,74.01,7.48,BJP,35.67,43.15,12.64,1.12,7.42,54.08,69.33,52.33,2
39,Constituency 39,22.17857142857143,88.80000000000001,199836,77.85,5.03,TMC,39.49,34.46,3.78,14.63,7.64,20.37,83.58,57.75,1
40,Constituency 40,22.17857142857143,89.08571428571429,155156,84.04,1.6,BJP,41.82,43.43,2.69,11.04,1.02,14.54,85.27,38.38,3
41,Constituency 41,22.17857142857143,89.37142857142857,199933,83.02,5.98,TMC,46.94,40.96,6.07,0.92,5.12,10.0,53.59,32.68,3
42,Constituency 42,22.17857142857143,89.65714285714284,226712,81.28,0.58,BJP,40.78,41.36,1.06,9.98,6.82,17.66,72.75,46.18,3
43,Constituency 43,22.45,85.94285714285715,231345,74.32,8.33,TMC,44.49,36.15,3.31,4.8,11.25,37.75,72.68,42.62,2
44,Constituency 44,22.45,86.22857142857143,142096,74.65,9.71,TMC,49.8,40.09,1.15,6.15,2.81,50.32,89.69,54.36,0
45,Constituency 45,22.45,86.5142857142857,217200,91.3,14.96,TMC,52.06,37.1,8.11,1.72,1.02,18.83,74.12,25.1,3
46,Constituency 46,22.45,86.80000000000001,155139,82.9,16.19,TMC,48.24,32.05,10.32,8.41,0.97,49.74,55.59,73.26,0
47,Constituency 47,22.45,87.08571428571429,207105,85.64,4.99,BJP,34.06,39.06,13.99,6.24,6.65,35.7,68.5,27.55,3
48,Constituency 48,22.45,87.37142857142857,214538,78.5,3.61,TMC,41.02,37.41,6.61,7.87,7.09,10.0,69.94,45.09,3
49,Constituency 49,22.45,87.65714285714284,175561,78.62,6.93,TMC,41.95,35.03,8.73,6.68,7.62,28.16,89.13,72.17,0
50,Constituency 50,22.45,87.94285714285715,199467,72.21,0.92,TMC,39.5,38.58,11.22,6.94,3.77,33.86,50.0,39.0,3
51,Constituency 51,22.45,88.22857142857143,215078,74.87,9.11,TMC,42.93,33.81,8.57,6.3,8.39,39.12,65.24,81.26,0
52,Constituency 52,22.45,88.5142857142857,146863,77.61,6.47,TMC,47.8,41.33,8.45,1.03,1.38,10.0,80.97,42.81,3
53,Constituency 53,22.45,88.80000000000001,237026,74.29,14.89,TMC,52.42,37.53,5.68,3.32,1.04,10.0,85.48,49.11,3
54,Constituency 54,22.45,89.08571428571429,239155,81.44,9.69,TMC,48.66,38.96,7.08,1.07,4.23,36.75,74.68,66.12,0
55,Constituency 55,22.45,89.37142857142857,222585,82.52,6.15,TMC,47.13,40.98,4.5,6.39,1.0,10.0,69.39,55.5,1
56,Constituency 56,22.45,89.65714285714284,240677,76.08,22.87,TMC,52.73,29.86,11.83,1.0,4.58,39.31,91.35,26.49,3
57,Constituency 57,22.72142857142857,85.94285714285715,152699,85.65,1.92,TMC,39.76,37.85,9.84,2.85,9.7,10.0,87.95,41.45,3
58,Constituency 58,22.72142857142857,86.22857142857143,207388,84.64,1.01,TMC,41.07,40.06,9.31,6.55,3.02,10.0,83.81,43.87,3
59,Constituency 59,22.72142857142857,86.5142857142857,214458,78.54,1.03,TMC,42.53,41.5,5.53,3.44,7.0,17.66,91.12,60.05,1
60,Constituency 60,22.72142857142857,86.80000000000001,150448,71.06,12.88,TMC,51.89,39.01,1.5,1.25,6.35,32.83,87.48,46.33,0
61,Constituency 61,22.72142857142857,87.08571428571429,146668,79.56,4.1,TMC,38.9,34.79,11.57,6.4,8.33,43.27,89.77,49.64,0
62,Constituency 62,22.72142857142857,87.37142857142857,225581,76.63,10.11,TMC,47.24,37.13,2.37,2.91,10.34,12.61,77.98,72.33,1
63,Constituency 63,22.72142857142857,87.65714285714284,154913,79.17,11.88,TMC,49.47,37.59,5.21,1.04,6.68,59.9,91.35,43.51,2
64,Constituency 64,22.72142857142857,87.94285714285715,176580,89.83,4.27,TMC,39.9,35.63,10.85,6.06,7.56,39.18,65.13,50.25,0
65,Constituency 65,22.72142857142857,88.22857142857143,177979,80.13,12.04,TMC,48.93,36.89,6.71,1.13,6.34,70.15,88.09,24.87,2
66,Constituency 66,22.72142857142857,88.5142857142857,204259,85.14,9.48,BJP,32.68,42.16,15.52,2.11,7.53,45.14,73.84,63.72,0
67,Constituency 67,22.72142857142857,88.80000000000001,196283,76.06,11.52,TMC,47.23,35.71,9.34,4.63,3.08,34.49,63.2,60.62,0
68,Constituency 68,22.72142857142857,89.08571428571429,220297,74.27,6.04,TMC,48.21,42.17,7.08,1.22,1.33,43.14,94.73,48.63,0
69,Constituency 69,22.72142857142857,89.37142857142857,218703,88.99,2.46,BJP,37.13,39.6,10.79,11.5,0.98,24.32,77.08,55.3,1
70,Constituency 70,22.72142857142857,89.65714285714284,207962,77.54,7.01,TMC,38.69,31.68,15.39,6.51,7.74,60.32,70.64,47.62,2
71,Constituency 71,22.992857142857144,85.94285714285715,139440,81.8,4.14,TMC,41.48,37.34,14.23,3.02,3.94,38.95,87.61,34.62,2
